name,id,price,unit,size,weight
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีวู๊ดเดน บราวน์,8852439031726,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่น EXCELLA CRESTA สี SABANA BLACK,8852439040209,117.00 - 120.00 บาท,/ ชิ้น,33.5x42x2 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีเพิร์ลลี่ เกรย์,8852439032020,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีเรด ไวน์,8852439036585,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีดีพ บลู,8852439036714,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีชาโคล เกรย์,8852439031924,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีไดมอนด์ เกรย์,8852439000067,94.00 - 110.40 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีทิมเบอร์ บราวน์,8852439000203,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีคาเนเลียนบราวน์,8852439000142,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีบลู คอร์เดียร์,8852439000012,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีเรด การ์เนต,8852439000029,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีเรด แซปไฟร์,8852439000111,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีไวท์ เพิร์ล,8852439000050,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีเยลโลแซปไฟร์,8852439000159,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า โมเดิร์น สีโคโค่บราวน์,8852439010370,89.00 - 103.20 บาท,/ ชิ้น,33.5x42x2.35 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า โมเดิร์น สีซิลเวอร์เกรย์,8852439012930,89.00 - 103.20 บาท,/ ชิ้น,33.5x42x2.35 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า โมเดิร์น สีแพลทตินั่ม,8852439012954,89.00 - 103.20 บาท,/ ชิ้น,33.5x42x2.35 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีกรีน เพริดอท,8852439000036,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีกรีนเจไดท์,8852439000166,94.00 - 110.40 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีคริสตัล บลู,8852439000265,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
