name,id,price,unit,size,weight
กระเบื้องหลังคาคอนกรีต เอสซีจี รุ่นซีแพค กลุ่มสีนีโอคลาส สีเงินไททาเนี่ยม,8852422098385,17.00 - 20.40 บาท,/ ชิ้น,33x42x5.5 ซม.,4.05 กก.
กระเบื้องหลังคาคอนกรีต เอสซีจี รุ่นซีแพค สีเทาปีกนางนวล (C),8852422098057,16.75 - 18.50 บาท,/ ชิ้น,33x42x5.5 ซม.,4.05 กก.
กระเบื้องหลังคาคอนกรีต เอสซีจี รุ่นซีแพค สีน้ำตาลโอ๊คแดง,8852422098163,13.75 - 17.00 บาท,/ ชิ้น,33x42x5.5 ซม.,4.05 กก.
กระเบื้องหลังคาคอนกรีต เอสซีจี รุ่นซีแพค สมูทคูล สีคูลเกรย์,8852422112159,18.00 - 24.00 บาท,/ ชิ้น,33x42x5.5 ซม.,4.05 กก.
กระเบื้องคอนกรีต SCG สีแดงเรดซัน,8852422130993,16.00 บาท,/ ชิ้น,33x42x5.5 ซม.,4.05 กก.
กระเบื้องหลังคาคอนกรีต SCG รุ่นเพรสทีจ สีมิดไนท์เกรย์,8852422106608,26.00 - 39.00 บาท,/ ชิ้น,5.2 กก.,N/A
กระเบื้องหลังคาคอนกรีต SCG สีน้ำตาลจูปิเตอร์,8852422130870,13.75 บาท,/ ชิ้น,42x33x2.4 ซม.,4.05 กก.
กระเบื้อง เพรสทีจ สีเทามิราเคิล,8852422131112,29.50 บาท,/ ชิ้น,5.2 กก.,N/A
กระเบื้องผืนหลังคาคอนกรีต เอสซีจี รุ่น นิวสไตล์ โมเดิร์น เอ็กซ์ชิลด์ ฮีทบล็อค สีดาร์คบราวน์,8852422096336,60.00 - 75.00 บาท,/ ชิ้น,40x40 ซม.,5.6 กก.
กระเบื้องหลังคาคอนกรีต SCG รุ่นเพรสทีจ เอ็กซ์ชิลด์ ดาร์ค เกรย์,8852422100514,30.00 - 39.60 บาท,/ ชิ้น,33x42x2.7 ซม.,5.2 กก.
กระเบื้องหลังคาคอนกรีต เอสซีจี รุ่นซีแพค สีแดงกุหลาบ,8852422104710,14.50 - 18.50 บาท,/ ชิ้น,33x42x5.5 ซม.,4.05 กก.
กระเบื้องหลังคาคอนกรีตเอสซีจี รุ่นเพรสทีจ เอ็กซ์ชิลด์ สลิม สีดาร์ก เกรย์,8852422114573,35.00 - 46.80 บาท,/ ชิ้น,33x42x1.9 ซม.,4.9 กก.
กระเบื้องหลังคาคอนกรีตเอสซีจี รุ่นเพรสทีจ เอ็กซ์ชิลด์ สลิม สีช็อกโก้บราวน์,8852422114665,35.00 - 41.00 บาท,/ ชิ้น,33x42x1.9 ซม.,4.9 กก.
กระเบื้องหลังคาคอนกรีตเอสซีจี รุ่นเพรสทีจ เอ็กซ์ชิลด์ สลิม เคลาดี้ เกรย์,8852422123995,35.00 - 46.80 บาท,/ ชิ้น,33x42x1.9 ซม.,4.9 กก.
กระเบื้องหลังคาคอนกรีตเอสซีจี รุ่นเพรสทีจ เอ็กซ์ชิลด์ สลิม มิดไนท์บลู,8852422124176,35.00 - 46.80 บาท,/ ชิ้น,33x42x1.9 ซม.,4.9 กก.
กระเบื้องหลังคาคอนกรีตเอสซีจี รุ่นเพรสทีจ เอ็กซ์ชิลด์ สลิม ไอวอรี่ เกรย์,8852422124268,35.00 - 46.80 บาท,/ ชิ้น,33x42x1.9 ซม.,4.9 กก.
N/A,N/A,N/A,N/A,N/A,N/A
กระเบื้อง คอนกรีต SCG เอลาบานา สีเทาปีกนางนวล (E),8852422099764,11.00 - 17.00 บาท,/ ชิ้น,33x42x5.5 ซม.,4.05 กก.
กระเบื้องหลังคาคอนกรีต เอสซีจี รุ่นซีแพค สีเขียวอินทนิล,8852422098279,17.00 - 20.40 บาท,/ ชิ้น,33x42x5.5 ซม.,4.05 กก.
กระเบื้องหลังคาคอนกรีต เอสซีจี รุ่นซีแพค กลุ่มสีนีโอคลาส สีเทาแทนทาลัม,8852422098491,15.00 - 20.40 บาท,/ ชิ้น,33x42x5.5 ซม.,4.05 กก.
