name,id,price,unit,size,weight
ชุดอุปกรณ์ยึดครอบระบบแห้ง เอสซีจี (SCG Drytech System) รุ่นพรีเมี่ยม-ตะเข้สัน สำหรับหลังคาเซรามิค,8852439030545,"2,520.00 - 2,940.00 บาท",/ ชุด,18x60 ซม.,4.1 กก.
ชุดอุปกรณ์ยึดครอบระบบแห้ง เอสซีจี (SCG Drytech System) รุ่นพรีเมี่ยม-สันหลังคา สำหรับหลังคาคอนกรีต,8852422098606,"1,925.00 - 2,340.00 บาท",/ ชุด,18x300 ซม.,4.1 กก.
ชุดอุปกรณ์ยึดครอบระบบแห้ง เอสซีจี (SCG Drytech System) รุ่นพรีเมี่ยม-ตะเข้สัน สำหรับหลังคาคอนกรีต,8852422098613,"2,520.00 - 2,940.00 บาท",/ ชุด,18x60 ซม.,3.1 กก.
ครอบสันปรับมุม ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ตัวบน ซีเมนต์,8852404065497,42.00 - 50.00 บาท,/ ชิ้น,57x29 ซม.,2 กก.
ครอบสันปรับมุม ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ตัวล่าง ซีเมนต์,8852404065503,42.00 - 50.00 บาท,/ ชิ้น,57x27 ซม.,2 กก.
ครอบชนผนัง ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ จากซ้ายไปขวา ซีเมนต์,8852404065510,40.50 - 49.00 บาท,/ ชิ้น,50x20 ซม.,1.2 กก.
ครอบชนผนัง ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ จากขวาไปซ้าย ซีเมนต์,8852404065527,40.50 - 49.00 บาท,/ ชิ้น,50x20 ซม.,1.2 กก.
ครอบข้าง ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ซีเมนต์,8852404065565,41.00 - 50.00 บาท,/ ชิ้น,20x60 ซม.,1.3 กก.
ครอบข้างปิดชาย ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ซีเมนต์,8852404065572,41.00 - 50.00 บาท,/ ชิ้น,20x60 ซม.,1.5 กก.
ครอบสันโค้ง ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ซีเมนต์,8852404065589,59.00 - 71.00 บาท,/ ชิ้น,23x50 ซม.,1.4 กก.
ครอบโค้งตะเข้ ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ซีเมนต์,8852404065596,58.00 - 69.00 บาท,/ ชิ้น,23x48 ซม.,1.1 กก.
ครอบโค้งปิดปลาย ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ซีเมนต์,8852404065602,58.00 - 69.00 บาท,/ ชิ้น,30x17 ซม.,0.7 กก.
ครอบโค้ง 3 ทาง ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ซีเมนต์,8852404065619,58.00 - 71.00 บาท,/ ชิ้น,42x47 ซม.,1.3 กก.
ครอบโค้ง 4 ทาง ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ซีเมนต์,8852404065626,58.25 - 71.00 บาท,/ ชิ้น,40x40 ซม.,1.7 กก.
ครอบสันปรับมุม ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ตัวบน สีเทาศิลา,8852404065671,48.00 - 58.00 บาท,/ ชิ้น,57x29 ซม.,2 กก.
ครอบสันปรับมุม ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ ตัวล่าง สีเทาศิลา,8852404065688,48.00 - 58.00 บาท,/ ชิ้น,57x27 ซม.,2 กก.
ครอบชนผนัง ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ จากซ้ายไปขวา สีเทาศิลา,8852404065695,47.50 - 57.00 บาท,/ ชิ้น,50x20 ซม.,1.2 กก.
ครอบชนผนัง ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ จากขวาไปซ้าย สีเทาศิลา,8852404065701,47.50 - 57.00 บาท,/ ชิ้น,50x20 ซม.,1.2 กก.
ครอบข้าง ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ สีเทาศิลา,8852404065749,47.50 - 57.00 บาท,/ ชิ้น,20x60 ซม.,1.3 กก.
ครอบข้างปิดชาย ไฟเบอร์ซีเมนต์ เอสซีจี รุ่นลอนคู่ สีเทาศิลา,8852404065756,47.50 - 58.00 บาท,/ ชิ้น,20x60 ซม.,1.5 กก.
